zip,qualified,kw_total
23692,3957,61942.75
23693,6217,92823.75
23696,370,4634
23701,7831,126468.5
23702,2997,37947.5
23703,6714,93916.25
23704,5366,121916
23707,4169,63952.75
23708,7,2263.25
23801,1351,67046.75
23803,13679,236666.25
23805,3750,84856
23806,77,1926.25
23831,9250,140235
23832,7777,90944.25
23834,8725,186749.25
23836,3931,128415
23838,2821,30649
23842,238,13232.25
23860,8474,135533
23875,3113,77089
23885,60,2436.25
24011,189,10653.5
24012,10088,234767
24013,2573,41172.25
24014,5234,81052
24015,4837,61176
24016,2553,72343.25
24017,7479,127241.25
24018,10740,195682.75
24019,10271,211424.75
24022,52,437
24042,1,137.75
24060,7300,148831
24061,244,30985.25
24069,0,
24073,8571,151807.5
24077,410,6308
24101,77,1034
24149,1,3.25
24153,11357,275648.25
24175,450,6949.75
24179,5062,81943.5
24251,982,17440.25
24258,38,1268.5
24290,816,16694.5
24366,1,2.25
24401,8330,133515.75
24431,160,1463.75
24437,158,3719.25
24440,72,697.5
24441,292,3449.25
24467,262,3732
24469,15,118.75
24471,2,255.25
24477,1842,42295.75
24482,1121,25066.75
24486,595,12977.25
24501,8984,169813.75
24502,11861,260709
24503,3994,45800.75
24504,2723,38206.5
24506,3,1486.25
24514,21,1973.75
24527,16,144.5
24538,84,1340.25
24540,7053,173842.75
24541,6843,178597
24550,283,3282.75
24551,4071,89576.5
24572,2098,32097
24586,343,7138.5
24588,876,12505.25
24605,1606,46164.25
24613,113,3332.25
24635,149,1482.25
24701,4480,82002.25
24715,48,505.5
24724,0,
24739,255,9240.25
24740,3755,81201.5
25064,4245,81332.5
25143,3396,80051.25
25159,1108,29500.25
25177,5942,89636.25
25202,2,18.25
25213,146,5486.5
25301,1003,51465.25
25302,5499,70592.5
25303,2799,54441.75
25304,2576,46423.25
25305,12,1159.25
25306,9,170.5
25309,3958,81466
25311,2651,55711.5
25312,178,2194
25313,275,8590.5
25314,4496,64099.5
25317,3,493.25
25320,3,211.25
25387,2427,39246.5
25392,2,147.25
25396,4,857.25
25401,4530,68880.25
25403,955,23913
25404,3462,50164.25
